,Country/Region,Continent,Lat,Long,TotalCases,TotalDeaths,TotalRecovered,Date
193,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-01-27
194,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-01-28
195,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-01-29
196,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-01-30
197,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-01-31
198,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-01
199,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-02
200,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-03
201,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-04
202,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-05
203,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-06
204,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-07
205,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-08
206,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-09
207,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-10
208,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-11
209,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-12
210,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-13
211,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-14
212,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-15
213,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-16
214,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-17
215,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-18
216,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-19
217,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-20
218,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-21
219,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-22
220,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-23
221,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-24
222,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-25
223,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-26
224,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-27
225,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-28
226,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-02-29
227,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-01
228,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-02
229,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-03
230,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-04
231,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-05
232,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-06
233,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-07
234,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-08
235,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-09
236,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-10
237,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-11
238,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-12
239,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-13
240,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-14
241,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-15
242,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-16
243,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-17
244,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-18
245,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-19
246,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-20
247,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-21
248,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-22
249,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-23
250,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-24
251,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-25
252,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-26
253,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-27
254,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-28
255,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-29
256,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-30
257,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-03-31
258,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-01
259,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-02
260,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-03
261,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-04
262,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-05
263,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-06
264,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-07
265,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-08
266,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-09
267,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-10
268,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-11
269,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-12
270,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-13
271,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-14
272,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-15
273,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-16
274,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-17
275,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-18
276,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-19
277,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-20
